(move_robot robot_initial_location crop_2_location robot_1)
(go_to base_1 region_4 robot_3)
(recharge_battery base_3 robot_4)
(water_crop crop_2_location robot_1 crop_2)
(go_to region_4 region_5 robot_3)
(go_to base_3 region_4 robot_4)
(move_robot crop_2_location livestock_3_location robot_1)
(take_image region_5 robot_3)
(pulverize_region region_4 robot_4)
(move_robot livestock_3_location station_1 robot_1)
(pulverize_region region_5 robot_3)
(recharge_food_amount station_1 robot_1)
(move_robot station_1 livestock_3_location robot_1)
(feed_livestock livestock_3 livestock_3_location robot_1)
