(move_robot robot_initial_location box_1_location robot_1)
(move_robot robot_2_location crop_2_location robot_2)
(go_to base_1 region_1 robot_3)
(go_to base_3 region_5 robot_4)
(water_crop crop_2_location robot_2 crop_2)
(pulverize_region region_1 robot_3)
(take_image region_5 robot_4)
(move_robot box_1_location crop_5_location robot_1)
(harvest_crop crop_5_location robot_1 crop_5)
(move_robot crop_2_location box_2_location robot_2)
(move_robot crop_5_location box_1_location robot_1)
(move_robot box_2_location livestock_7_location robot_2)
(drop_crop_in_box crop_5 robot_1 box_1_location box_1)
(gather_produce livestock_7_location robot_2 livestock_7 produce_7)
(move_robot livestock_7_location box_2_location robot_2)
(drop_produce_in_box produce_7 robot_2 box_2_location box_2)
