(move_robot robot_initial_location box_2_location robot_1)
(go_to base_1 region_1 robot_3)
(move_robot robot_2_location box_2_location robot_2)
(pulverize_region region_1 robot_3)
(move_robot box_2_location livestock_2_location robot_1)
(move_robot box_2_location station_1 robot_2)
(go_to region_1 region_2 robot_3)
(feed_livestock livestock_2 livestock_2_location robot_1)
(recharge_water_amount station_1 robot_2)
(take_image region_2 robot_3)
(move_robot station_1 crop_1_location robot_2)
(move_robot livestock_2_location box_2_location robot_1)
(water_crop crop_1_location robot_2 crop_1)
(move_robot box_2_location crop_4_location robot_1)
(harvest_crop crop_4_location robot_1 crop_4)
(move_robot crop_1_location box_2_location robot_2)
(move_robot crop_4_location box_2_location robot_1)
(move_robot box_2_location livestock_1_location robot_2)
(drop_crop_in_box crop_4 robot_1 box_2_location box_2)
(gather_produce livestock_1_location robot_2 livestock_1 produce_1)
(move_robot livestock_1_location box_2_location robot_2)
(drop_produce_in_box produce_1 robot_2 box_2_location box_2)
