(move_robot robot_initial_location box_1_location robot_1)
(go_to base_1 region_3 robot_3)
(go_to base_3 region_6 robot_4)
(move_robot robot_2_location box_1_location robot_2)
(pulverize_region region_3 robot_3)
(pulverize_region region_6 robot_4)
(move_robot box_1_location crop_1_location robot_1)
(move_robot box_1_location crop_3_location robot_2)
(harvest_crop crop_1_location robot_1 crop_1)
(harvest_crop crop_3_location robot_2 crop_3)
(move_robot crop_1_location box_2_location robot_1)
(move_robot crop_3_location box_1_location robot_2)
(drop_crop_in_box crop_1 robot_1 box_2_location box_2)
(drop_crop_in_box crop_3 robot_2 box_1_location box_1)
(move_robot box_2_location box_1_location robot_1)
(move_robot box_1_location livestock_3_location robot_2)
(feed_livestock livestock_3 livestock_3_location robot_2)
(move_robot box_1_location crop_4_location robot_1)
(harvest_crop crop_4_location robot_1 crop_4)
(move_robot livestock_3_location livestock_6_location robot_2)
(move_robot crop_4_location box_1_location robot_1)
(move_robot livestock_6_location station_1 robot_2)
(drop_crop_in_box crop_4 robot_1 box_1_location box_1)
(move_robot station_1 livestock_6_location robot_2)
(move_robot box_1_location livestock_6_location robot_1)
(feed_livestock livestock_6 livestock_6_location robot_1)
