(move_robot robot_initial_location box_1_location robot_1)
(go_to base_1 region_6 robot_3)
(take_image region_6 robot_3)
(move_robot box_1_location station_1 robot_1)
(recharge_food_amount station_1 robot_1)
(move_robot station_1 box_1_location robot_1)
(move_robot box_1_location crop_5_location robot_1)
(harvest_crop crop_5_location robot_1 crop_5)
(move_robot crop_5_location box_1_location robot_1)
(drop_crop_in_box crop_5 robot_1 box_1_location box_1)
(move_robot box_1_location box_2_location robot_1)
(move_robot box_2_location livestock_2_location robot_1)
(feed_livestock livestock_2 livestock_2_location robot_1)
(move_robot livestock_2_location box_2_location robot_1)
(move_robot box_2_location crop_1_location robot_1)
(harvest_crop crop_1_location robot_1 crop_1)
(move_robot crop_1_location box_2_location robot_1)
(drop_crop_in_box crop_1 robot_1 box_2_location box_2)
(move_robot box_2_location crop_6_location robot_1)
(harvest_crop crop_6_location robot_1 crop_6)
(move_robot crop_6_location crop_8_location robot_1)
(move_robot crop_8_location station_1 robot_1)
(recharge_battery_ground robot_1 station_1)
(move_robot station_1 box_2_location robot_1)
(drop_crop_in_box crop_6 robot_1 box_2_location box_2)
(move_robot box_2_location livestock_3_location robot_1)
(feed_livestock livestock_3 livestock_3_location robot_1)
(move_robot livestock_3_location station_1 robot_1)
(recharge_food_amount station_1 robot_1)
(move_robot station_1 livestock_6_location robot_1)
(feed_livestock livestock_6 livestock_6_location robot_1)
